Time,Distance,Status
879,4434,OK
847,3188,OK
772,3319,OK
715,3140,OK
955,4051,OK
956,4059,OK
716,3374,OK
840,3608,OK
983,4770,OK
762,3510,OK
988,4077,OK
727,3180,OK
843,3623,OK
714,3081,OK
842,3618,OK
855,3422,OK
981,3998,OK
977,3801,OK
759,3112,OK
788,3252,OK
983,3983,OK
964,3690,OK
784,3248,OK
957,4063,OK
732,3170,OK
709,3091,OK
709,3091,OK
778,3365,OK
1037,4543,OK
731,3321,OK
845,3176,OK
965,3694,OK
951,3799,OK
717,3158,OK
979,3509,OK
653,3376,OK
852,3405,OK
748,3208,OK
980,3805,OK
721,3125,OK
992,3369,OK
827,3388,OK
948,4259,OK
966,3703,OK
983,4760,OK
966,4266,OK
833,3277,OK
841,3157,OK
966,4122,OK
747,2969,OK
686,3104,OK
855,3428,OK
855,3428,OK
845,3907,OK
951,3955,OK
718,3566,OK
777,3593,OK
836,3306,OK
844,3171,OK
984,3989,OK
710,3061,OK
986,4002,OK
853,3990,OK
951,3955,OK
966,4124,OK
951,3804,OK
734,3139,OK
726,3178,OK
806,3533,OK
811,3603,OK
875,3411,OK
981,3975,OK
1023,3813,OK
714,3158,OK
844,3351,OK
929,3280,OK
837,3311,OK
689,3272,OK
689,3272,OK
918,3928,OK
984,3990,OK
856,3434,OK
1045,3583,OK
878,4377,OK
937,3306,OK
935,4027,OK
842,3164,OK
711,3066,OK
776,3487,OK
896,3846,OK
952,3809,OK
771,3462,OK
904,4493,OK
710,3093,OK
711,3090,OK
928,3508,OK
970,3931,OK
776,3101,OK
751,2998,OK
947,3957,OK
979,3965,OK
776,3102,OK
881,4374,OK
724,3164,OK
724,3164,OK
980,3971,OK
656,3405,OK
731,3654,OK
891,3816,OK
965,3521,OK
861,3791,OK
998,3932,OK
982,3999,OK
756,3259,OK
961,3867,OK
712,3099,OK
953,3814,OK
857,3442,OK
1022,4598,OK
854,3420,OK
890,4376,OK
843,3342,OK
951,3800,OK
835,3292,OK
969,3544,OK
977,4431,OK
1027,4236,OK
908,3292,OK
987,4307,OK
935,3299,OK
935,3299,OK
759,3113,OK
765,3057,OK
854,3705,OK
979,3961,OK
941,4085,OK
1004,3449,OK
841,3153,OK
902,4076,OK
705,3324,OK
713,3104,OK
843,3342,OK
857,3446,OK
959,3859,OK
